776	Flawed--but unforgetable	48
777	Not what you think	26
778	Not as good as the trailers	2
779	Powerful, Moving, Beautiful...	13
780	Best movie of the year	34
781	A new classic	32
782	Haunted...	50
783	Love means never having to say I cannot	23
784	Poignant. Dramatic. Breathtaking cinematography.	20
785	Like the great classics of literature	23
786	Nothing to reflect...and a TERRIBLE portrayal	78
787	they were robbed at the oscars!	35
788	Love, Loss, and a bloody shirt.	30
789	An extraordinary film	13
790	An extraordinary film	44
791	EXCELLENT movie, that some are misinterpreting	25
792	The mountain has wings	65
793	Brokeback Mountain is rapturous!!!	42
794	A LOVE STORY, PLAIN AND NOT SO SIMPLE.	34
795	Great	31
796	Beautiful, Sad, Touching	32
797	Not for everyone	26
798	Where there's love, there's a will, and where there's a will, there's a way	52
799	Emotionally Moving From Start to Finish	15
800	Future Classic	13
801	This Headline Eschews Tawdry Innuendo	41
802	Gay agenda... what exactly does that mean?	63
803	Still on my mind months later	67
804	Simply Outstanding	31
805	Best Movie of 2005	42
806	Amazing, powerful, and genuinely moving	2
807	Haunting	16
808	Goin' Fishin'	41
809	(Dis)members of the 'Academy' - Isn't cinema a form of Art?	41
810	"When a man loves a man"	14
811	Reality bites!	26
812	Touching and Beautiful	12
813	A Classic	11
814	Boring	18
815	Poetry	20
816	makes those of us with a lost love burn.....	32
817	Parting with my hard-earned money	33
818	BRILLIANT!	6
819	Human Love	36
820	Love Story..Not about being gay or straight	19
821	Pure Propoganda by an absolute Master	130
822	Powerful Movie!	31
823	Not just a "gay cowboy" movie	72
824	Worst. Movie. EVER.	38
825	Best Movie In Years...	20
826	What Happens After Brokeback Mountain?	24
827	Deeply moving if not unsettling masterpiece of modern cinema...	31
828	AWESOME MOVIE	20
829	A Tale Of Two Souls	46
830	a beautiful but infintely sad film	34
831	Same Time Next Year  ...with a GAY "Twist"	48
832	open your mind and your heart...	10
833	about the movie brokeback Mountain......	52
834	Brokeback Mountain, the Art in filmmaking	42
835	very honest story, true to the end	16
836	It stays with you forever.	46
837	ANG LEE REALLY DESERVED HIS OSCAR	30
838	Masterpiece Mountain	29
839	Men's Love Story Penned By a Woman	7
840	A nice love story	1
841	A Simple Story told Exceptionally Well.	38
842	An Excellent Film!!!	19
843	Great film	34
844	a disappointment	24
845	Bravo!	30
846	Chemistry	31
847	Brokeback: No One Told Me	45
848	Broke Back Mountain	30
849	Not Disappointed	4
850	haven't seen the whole thing yet	1
851	Brokeback = Broken Hearts	13
852	I agree with Cheerupper "Andy".....	58
853	Heart crushing tale of longing and loss	21
854	ROBBED OF THE OSCAR IT DESERVED!!	19
855	I watched this movie for the first time 5/18/2014	2
856	Crap	29
857	Movie-Making Breakthrough, and a Great Story as Well	5
858	Powerful and moving	25
859	A love story that touches your heart.	16
860	Brokeback Mountain	0
861	Review of film and blu ray version	20
862	There aren't enough stars to praise this movie!	14
863	A New England Writer and a Director from Taiwan Film a Classic in Canada	17
864	A New England Writer and a Director from Taiwan Film a Classic in Canada	37
865	AMAZING STORY...	5
866	So much more...	34
867	Countering Stephen Baker	38
868	Heart-wrenchingly Beautiful Movie	28
869	So much more than two men with feelings for each other	52
870	Profoundly Affecting	30
871	The most important gay movie yet made.	28
872	Depressing and Disturbing	69
873	Retrace the Steps, as if we forgot...	19
874	Brokeback Moutain Review	9
875	Broke Heart Mountain	34
876	Magic	6
877	Brokeback Mountain	15
878	The Poor Wives!!!	78
879	Ennis -- "I probably wasn't no fun, anyhow?"	2
880	The best movie of all time!	43
881	Iconic Gay Cinema	2
882	Overrated	56
883	A simple, devastating love story	10
884	Great educational film	13
885	My Difficult Climb Up Brokeback Mountain	66
886	Redefines "love story" for all viewers	25
887	Redefines "love story" for all viewers	11
888	What Isn't Said	26
889	Love is LOVE	20
890	Del Mar-Twist	11
891	Once in a million do you find TRUE love like Ennis and Jack	5
892	Words Cannot Do Justice	43
893	I Don't Think So......	216
894	THE BEST NOT ALWAYS WINS	39
895	Cowboys in Love	13
896	Great Movie	0
897	I fell for it, too	11
898	The REAL Best Picture of 2005!	17
899	Modern Tragic Masterpiece	59
900	Riveting	6
901	It was OK	31
902	A well made, heartfelt drama with a profound and powerful message. This is one movie you need to see	30
903	A well made, heartfelt drama with a profound and powerful message. This is one movie you need to see	47
904	World After Brokeback Mountain	32
905	Responding to Reviwer Eugene Fenlon. "Eugenius."	32
906	the most beautiful movie	43
907	No more tears...	48
908	i loved it	12
909	Broke Story	90
910	Everyone should see!	17
911	Discover for yourself the magic of Brokeback Mountain	47
